nmun,desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,prec,probprec,raf,temp,velvien
Acámbaro,Despejado,6,Noreste,49.94,17.89,Lunes,2023-09-11 14:00:00,26.41,11,2,20.0354,-100.7193,Guanajuato,114, 0.05, 0.00,14.61,27.44, 7.96
Agua Blanca de Iturbide,Despejado,6,Noreste,50.24,19.49,Lunes,2023-09-11 14:00:00,47.20,13,4,20.3495,-98.3564,Hidalgo,114, 0.00, 0.00,15.66,24.86,12.53
Agua Dulce,Cielo cubierto,6,Suroeste,244.82,29.55,Lunes,2023-09-11 14:00:00,72.68,30,204,18.1383,-94.1472,Veracruz de Ignacio de la Llave,114, 1.00, 0.00,10.92,31.99,10.51
Agua Prieta,Cielo cubierto,7,Suroeste,240.83,21.34,Lunes,2023-09-11 14:00:00,17.17,26,2,31.3278,-109.5464,Sonora,114, 0.10, 0.00,27.39,34.54,20.91
Agualeguas,Despejado,6,Sureste,132.92,24.97,Lunes,2023-09-11 14:00:00,24.16,19,2,26.3109,-99.5394,Nuevo León,114, 0.00, 0.00,23.26,35.77,23.15
Aguascalientes,Despejado,6,Noreste,48.82,16.69,Lunes,2023-09-11 14:00:00,18.80,1,1,21.8798,-102.2960,Aguascalientes,114, 0.00, 0.00,20.34,28.68,13.50
Aguililla,Poco nuboso,6,Este,84.81,25.90,Lunes,2023-09-11 14:00:00,65.23,16,2,18.7342,-102.7884,Michoacán de Ocampo,114, 0.67, 0.43, 4.62,29.11, 4.57
Ahome,Despejado,7,Sur,184.65,31.21,Lunes,2023-09-11 14:00:00,54.25,25,1,25.7834,-108.9943,Sinaloa,114, 0.00, 0.00,28.33,36.10,23.65
Ahuacatlán,Despejado,6,Noreste,36.23,18.63,Lunes,2023-09-11 14:00:00,49.12,21,6,20.0055,-97.8607,Puebla,114, 0.00, 0.00,13.14,23.67, 9.91
Ahuacuotzingo,Cielo cubierto,6,Suroeste,230.00,16.59,Lunes,2023-09-11 14:00:00,51.09,12,2,17.7141,-98.9349,Guerrero,114, 0.23, 0.00, 7.96,21.28, 7.05
Ahualulco,Despejado,6,Noreste,61.51,18.06,Lunes,2023-09-11 14:00:00,22.86,24,1,22.4001,-101.1668,San Luis Potosí,114, 0.00, 0.00,22.37,28.70,19.87
Ahualulco de Mercado,Despejado,6,Este,107.53,22.07,Lunes,2023-09-11 14:00:00,33.13,14,3,20.7006,-103.9750,Jalisco,114, 0.00, 0.00,10.95,30.21, 3.89
Ahuatlán,Cielo cubierto,6,Suroeste,220.81,20.02,Lunes,2023-09-11 14:00:00,34.91,21,7,18.5730,-98.2552,Puebla,114, 0.00, 0.00,12.59,27.63, 9.78
Ahuazotepec,Despejado,6,Noreste,50.18,16.82,Lunes,2023-09-11 14:00:00,43.14,21,8,20.0460,-98.1623,Puebla,114, 0.00, 0.00,16.82,22.72,12.79
Ahuehuetitla,Cielo cubierto,6,Oeste,252.13,20.00,Lunes,2023-09-11 14:00:00,33.16,21,9,18.2108,-98.2214,Puebla,114, 0.00, 0.00,11.12,28.00, 7.03
Ahumada,Cielo cubierto,7,Oeste,288.42,19.84,Lunes,2023-09-11 14:00:00,13.78,8,1,30.6177,-106.5124,Chihuahua,114, 0.00, 0.00,22.15,34.57,13.49
Ajacuba,Despejado,6,Noreste,28.91,13.72,Lunes,2023-09-11 14:00:00,25.14,13,5,20.0925,-99.1222,Hidalgo,114, 0.00, 0.00,19.52,23.30,17.49
Ajalpan,Cielo cubierto,6,Este,97.96,19.24,Lunes,2023-09-11 14:00:00,42.11,21,10,18.3775,-97.2583,Puebla,114, 0.00, 0.00,11.77,25.50,10.83
Ajuchitlán del Progreso,Cielo cubierto,6,Sur,195.41,24.09,Lunes,2023-09-11 14:00:00,76.38,12,3,18.1596,-100.4961,Guerrero,114, 2.17, 0.00, 4.24,26.10, 3.73
Akil,Cielo nublado,6,Este,78.42,28.87,Lunes,2023-09-11 14:00:00,37.34,31,3,20.2671,-89.3468,Yucatán,114, 0.00,95.00, 9.65,36.48, 6.85
Alamos,Poco nuboso,7,Sur,195.57,30.47,Lunes,2023-09-11 14:00:00,41.44,26,3,27.0240,-108.9349,Sonora,114, 0.02, 0.00,15.00,37.36,14.37
Alaquines,Despejado,6,Este,86.69,21.62,Lunes,2023-09-11 14:00:00,29.93,24,2,22.1279,-99.6004,San Luis Potosí,114, 0.00, 0.00,17.65,30.52,17.07
Albino Zertuche,Cielo cubierto,6,Oeste,287.18,19.49,Lunes,2023-09-11 14:00:00,39.85,21,11,18.0173,-98.5402,Puebla,114, 0.00, 0.00, 4.00,26.10, 0.99
Alcozauca de Guerrero,Cielo cubierto,6,Oeste,259.79,15.39,Lunes,2023-09-11 14:00:00,59.34,12,4,17.4635,-98.3839,Guerrero,114, 0.83, 0.00, 5.85,18.99, 4.91
Aldama,Cielo nublado,6,Suroeste,204.79,21.38,Lunes,2023-09-11 14:00:00,69.60,7,113,16.9178,-92.6882,Chiapas,114, 0.70,95.00,10.46,23.98, 6.12
Alfajayucan,Despejado,6,Noreste,49.57,15.11,Lunes,2023-09-11 14:00:00,23.30,13,6,20.4100,-99.3496,Hidalgo,114, 0.00, 0.00,18.63,25.36,18.12
Aljojuca,Medio nublado,6,Suroeste,246.00,15.33,Lunes,2023-09-11 14:00:00,38.58,21,12,19.1004,-97.5313,Puebla,114, 0.22, 0.00,10.31,21.97,10.16
Allende,Poco nuboso,6,Sureste,154.24,26.43,Lunes,2023-09-11 14:00:00,24.02,5,3,28.3472,-100.8542,Coahuila,114, 0.00, 0.00,24.43,37.40,24.35
Almoloya,Medio nublado,6,Noreste,50.96,12.19,Lunes,2023-09-11 14:00:00,32.70,13,7,19.7033,-98.4033,Hidalgo,114, 0.00, 0.00,14.45,19.80,12.19
Almoloya de Alquisiras,Cielo cubierto,6,Sur,197.58,18.01,Lunes,2023-09-11 14:00:00,70.29,15,4,18.8672,-99.8938,Estado de México,114, 0.97, 0.00, 7.28,20.48, 7.21
Almoloya de Juárez,Medio nublado,6,Noreste,66.69,13.75,Lunes,2023-09-11 14:00:00,32.29,15,5,19.3693,-99.7586,Estado de México,114, 0.22, 0.00,12.54,21.57,10.53
Almoloya del Río,Cielo cubierto,6,Este,107.70,15.75,Lunes,2023-09-11 14:00:00,46.98,15,6,19.1594,-99.4888,Estado de México,114, 0.23, 0.00,11.44,21.00,10.09
Alpatláhuac,Cielo nublado,6,Este,100.85,17.95,Lunes,2023-09-11 14:00:00,55.06,30,8,19.1200,-97.0932,Veracruz de Ignacio de la Llave,114, 0.37, 0.00,11.45,22.15, 8.54
Alpoyeca,Cielo cubierto,6,Noroeste,319.19,15.24,Lunes,2023-09-11 14:00:00,50.98,12,5,17.6701,-98.5132,Guerrero,114, 0.02, 0.00, 3.46,19.88, 3.05
Altamira,Poco nuboso,6,Este,112.35,25.87,Lunes,2023-09-11 14:00:00,39.18,28,3,22.3916,-97.9367,Tamaulipas,114, 0.00, 0.00,19.73,33.13,17.83
Altamirano,Despejado,6,Este,86.60,22.25,Lunes,2023-09-11 14:00:00,42.01,7,4,16.7359,-92.0386,Chiapas,114, 0.14,50.00,14.80,28.61, 9.51
Altar,Cielo nublado,7,Suroeste,211.45,24.86,Lunes,2023-09-11 14:00:00,20.46,26,4,30.7133,-111.8336,Sonora,114, 0.00, 0.00,21.44,36.97,18.51
Altepexi,Cielo cubierto,6,Sureste,135.71,19.46,Lunes,2023-09-11 14:00:00,32.33,21,13,18.3668,-97.2992,Puebla,114, 0.00, 0.00,12.41,27.61,12.25
Alto Lucero de Gutiérrez Barrios,Medio nublado,6,Este,80.41,25.60,Lunes,2023-09-11 14:00:00,56.23,30,9,19.6235,-96.7336,Veracruz de Ignacio de la Llave,114, 0.28, 0.00,13.04,29.90,10.95
Altotonga,Cielo cubierto,6,Noreste,33.88,18.45,Lunes,2023-09-11 14:00:00,53.59,30,10,19.7661,-97.2455,Veracruz de Ignacio de la Llave,114, 0.17, 0.00,12.62,22.86,11.20
Alvarado,Cielo nublado,6,Noreste,28.41,27.96,Lunes,2023-09-11 14:00:00,68.45,30,11,18.7743,-95.7639,Veracruz de Ignacio de la Llave,114, 0.01,21.25,11.50,30.82,10.92
Amacueca,Despejado,6,Este,67.83,18.52,Lunes,2023-09-11 14:00:00,34.98,14,4,20.0106,-103.5961,Jalisco,114, 0.05, 0.00,13.71,26.03, 6.09
Amacuzac,Cielo cubierto,6,Sureste,152.44,23.20,Lunes,2023-09-11 14:00:00,58.25,17,1,18.6000,-99.3695,Morelos,114, 0.00, 0.00, 4.86,27.15, 4.38
Amanalco,Cielo cubierto,6,Suroeste,220.83,10.60,Lunes,2023-09-11 14:00:00,48.04,15,7,19.2524,-100.0200,Estado de México,114, 0.62, 0.00,14.10,15.51, 8.32
Amatenango de la Frontera,Medio nublado,6,Oeste,288.77,21.87,Lunes,2023-09-11 14:00:00,78.00,7,6,15.4350,-92.1152,Chiapas,114, 1.32,95.00, 7.19,23.66, 7.12
Amatenango del Valle,Cielo nublado,6,Sureste,143.98,20.86,Lunes,2023-09-11 14:00:00,67.94,7,7,16.5285,-92.4355,Chiapas,114, 0.90,95.00,12.13,23.64, 6.41
Amatepec,Cielo nublado,6,Suroeste,224.21,23.82,Lunes,2023-09-11 14:00:00,68.28,15,8,18.6835,-100.1860,Estado de México,114, 0.74, 0.00, 6.31,26.62, 4.67
Amatitlán,Cielo nublado,6,Sureste,127.01,28.84,Lunes,2023-09-11 14:00:00,61.52,30,12,18.4323,-95.7333,Veracruz de Ignacio de la Llave,114, 0.00, 0.00, 9.79,32.55, 7.67
Amatitán,Despejado,6,Suroeste,239.92,21.06,Lunes,2023-09-11 14:00:00,28.27,14,5,20.8350,-103.7300,Jalisco,114, 0.00, 0.00,12.23,30.33, 4.61
Amatlán de Cañas,Despejado,7,Suroeste,242.49,23.39,Lunes,2023-09-11 14:00:00,37.82,18,3,20.8078,-104.4054,Nayarit,114, 0.25, 0.00, 9.94,30.61, 6.43
Amatlán de los Reyes,Cielo cubierto,6,Este,81.50,24.52,Lunes,2023-09-11 14:00:00,57.92,30,14,18.8476,-96.9155,Veracruz de Ignacio de la Llave,114, 0.03, 0.00, 7.76,28.55, 6.74
Amatán,Cielo nublado,6,Sur,184.33,24.82,Lunes,2023-09-11 14:00:00,67.15,7,5,17.3728,-92.8191,Chiapas,114, 0.60,95.00, 9.35,27.76, 7.59
Amaxac de Guerrero,Cielo nublado,6,Sureste,144.87,12.43,Lunes,2023-09-11 14:00:00,32.71,29,1,19.3503,-98.1696,Tlaxcala,114, 0.00, 0.00, 7.06,20.05, 6.22
Amealco de Bonfil,Despejado,6,Noreste,50.13,15.63,Lunes,2023-09-11 14:00:00,30.84,22,1,20.1864,-100.1442,Querétaro de Arteaga,114, 0.00, 0.00,18.23,23.89,17.43
Ameca,Despejado,6,Noreste,47.66,21.86,Lunes,2023-09-11 14:00:00,34.91,14,6,20.5486,-104.0431,Jalisco,114, 0.00, 0.00,11.37,29.59, 4.06
Amecameca,Cielo cubierto,6,Sur,201.26,14.94,Lunes,2023-09-11 14:00:00,42.75,15,9,19.1287,-98.7698,Estado de México,114, 0.17, 0.00,10.97,20.82, 9.55
Amixtlán,Despejado,6,Noreste,32.95,20.33,Lunes,2023-09-11 14:00:00,53.05,21,14,20.0494,-97.7989,Puebla,114, 0.00, 0.00,11.36,24.87, 8.19
Amozoc,Medio nublado,6,Sureste,144.44,13.82,Lunes,2023-09-11 14:00:00,34.60,21,15,19.0446,-98.0449,Puebla,114, 0.00, 0.00,11.74,21.13, 9.81
Angamacutiro,Despejado,6,Noreste,40.77,22.30,Lunes,2023-09-11 14:00:00,25.72,16,4,20.1497,-101.7083,Michoacán de Ocampo,114, 0.00, 0.00,14.82,32.39, 7.97
Angangueo,Despejado,6,Sureste,150.63,12.10,Lunes,2023-09-11 14:00:00,37.93,16,5,19.6198,-100.2855,Michoacán de Ocampo,114, 0.09, 0.00,14.10,18.67,12.24
Angel Albino Corzo,Cielo nublado,6,Sur,202.10,23.05,Lunes,2023-09-11 14:00:00,74.77,7,8,15.8726,-92.7251,Chiapas,114, 2.66,95.00, 5.40,25.17, 4.29
Angel R. Cabada,Cielo nublado,6,Suroeste,204.23,25.24,Lunes,2023-09-11 14:00:00,69.97,30,15,18.5955,-95.4427,Veracruz de Ignacio de la Llave,114, 0.18, 0.00,11.50,27.88,10.58
Angostura,Medio nublado,7,Suroeste,203.40,30.10,Lunes,2023-09-11 14:00:00,64.74,25,2,25.3644,-108.1595,Sinaloa,114, 0.00, 0.00,23.21,33.47,22.40
Antiguo Morelos,Despejado,6,Este,91.87,25.07,Lunes,2023-09-11 14:00:00,27.18,28,4,22.5494,-99.0836,Tamaulipas,114, 0.00, 0.00,13.90,34.95,13.51
Anáhuac,Despejado,5,Sureste,136.98,25.96,Lunes,2023-09-11 14:00:00,25.71,19,5,27.2406,-100.1324,Nuevo León,114, 0.00, 0.00,28.80,36.35,27.00
Apan,Medio nublado,6,Noreste,50.32,11.83,Lunes,2023-09-11 14:00:00,32.08,13,8,19.7100,-98.4519,Hidalgo,114, 0.00, 0.00,13.96,19.55,12.76
Apaseo el Alto,Despejado,6,Este,72.06,18.26,Lunes,2023-09-11 14:00:00,24.54,11,4,20.4572,-100.6216,Guanajuato,114, 0.00, 0.00,16.11,28.40,11.19
Apaseo el Grande,Despejado,6,Este,84.08,18.60,Lunes,2023-09-11 14:00:00,21.76,11,5,20.5453,-100.6882,Guanajuato,114, 0.00, 0.00,16.21,29.65,11.62
Apatzingán,Medio nublado,6,Sureste,114.52,27.70,Lunes,2023-09-11 14:00:00,60.99,16,6,19.0872,-102.3553,Michoacán de Ocampo,114, 0.40, 0.00, 4.01,31.47, 2.94
Apaxco,Despejado,6,Noreste,44.46,13.30,Lunes,2023-09-11 14:00:00,24.45,15,10,19.9753,-99.1742,Estado de México,114, 0.00, 0.00,15.61,23.05,15.59
Apaxtla,Cielo cubierto,6,Este,80.90,24.56,Lunes,2023-09-11 14:00:00,60.07,12,6,18.1301,-99.9323,Guerrero,114, 0.10, 0.00, 5.02,28.33, 3.53
Apazapan,Medio nublado,6,Este,100.06,25.90,Lunes,2023-09-11 14:00:00,56.17,30,17,19.3204,-96.7186,Veracruz de Ignacio de la Llave,114, 0.00, 0.00, 8.32,30.21, 6.87
Apetatitlán de Antonio Carvajal,Cielo nublado,6,Sur,171.45,12.76,Lunes,2023-09-11 14:00:00,32.08,29,2,19.3323,-98.1968,Tlaxcala,114, 0.00, 0.00, 7.25,20.54, 5.68
Apizaco,Cielo nublado,6,Este,106.95,12.00,Lunes,2023-09-11 14:00:00,32.68,29,5,19.4163,-98.1406,Tlaxcala,114, 0.00, 0.00, 7.58,19.60, 7.17
Apodaca,Despejado,6,Sureste,115.56,23.84,Lunes,2023-09-11 14:00:00,20.28,19,6,25.7813,-100.1892,Nuevo León,114, 0.00, 0.00,25.40,35.92,23.30
Aporo,Despejado,6,Este,100.95,13.64,Lunes,2023-09-11 14:00:00,37.33,16,7,19.6708,-100.4111,Michoacán de Ocampo,114, 0.07, 0.00,13.32,20.42,11.82
Apozol,Despejado,6,Noreste,45.31,18.10,Lunes,2023-09-11 14:00:00,25.27,32,1,21.4709,-103.0912,Zacatecas,114, 0.00, 0.00,18.70,27.99, 8.07
Apulco,Despejado,6,Este,97.91,17.95,Lunes,2023-09-11 14:00:00,25.32,32,2,21.3884,-102.6812,Zacatecas,114, 0.00, 0.00,20.50,27.81, 9.75
Aquila,Medio nublado,6,Suroeste,205.56,27.26,Lunes,2023-09-11 14:00:00,72.69,16,8,18.5991,-103.5048,Michoacán de Ocampo,114, 1.20, 8.38,12.10,29.66, 9.39
Aquiles Serdán,Cielo cubierto,7,Noreste,65.89,20.35,Lunes,2023-09-11 14:00:00,11.24,8,4,28.5945,-105.8875,Chihuahua,114, 0.00, 0.00,10.61,36.73,10.57
Aquismón,Despejado,6,Este,91.25,24.72,Lunes,2023-09-11 14:00:00,31.03,24,3,21.6214,-99.0195,San Luis Potosí,114, 0.00, 0.00,14.30,33.58,12.22
Aquixtla,Cielo nublado,6,Noreste,33.17,13.46,Lunes,2023-09-11 14:00:00,39.23,21,16,19.7967,-97.9366,Puebla,114, 0.00, 0.00,15.53,19.87,10.35
Aramberri,Despejado,6,Este,88.13,18.29,Lunes,2023-09-11 14:00:00,30.33,19,7,24.1006,-99.8181,Nuevo León,114, 0.01, 0.00,25.60,26.87,22.13
Arandas,Despejado,6,Noreste,67.44,19.41,Lunes,2023-09-11 14:00:00,28.95,14,8,20.7056,-102.3403,Jalisco,114, 0.00, 0.00,19.91,28.39,11.13
Arcelia,Cielo cubierto,6,Oeste,252.73,25.65,Lunes,2023-09-11 14:00:00,65.62,12,7,18.3158,-100.2840,Guerrero,114, 0.16, 0.00, 5.40,28.79, 5.21
Ario,Poco nuboso,6,Sur,200.70,22.53,Lunes,2023-09-11 14:00:00,68.50,16,9,19.2078,-101.7094,Michoacán de Ocampo,114, 0.60, 0.00, 8.36,25.30, 7.77
Arivechi,Despejado,7,Oeste,263.17,24.85,Lunes,2023-09-11 14:00:00,32.34,26,5,28.9286,-109.1871,Sonora,114, 0.00, 0.00,15.44,33.36,15.33
Arizpe,Cielo nublado,7,Suroeste,223.68,23.47,Lunes,2023-09-11 14:00:00,23.89,26,6,30.3362,-110.1668,Sonora,114, 0.00, 0.00,21.35,34.23,20.14
Armadillo de los Infante,Despejado,6,Este,85.69,20.09,Lunes,2023-09-11 14:00:00,25.27,24,4,22.2436,-100.6547,San Luis Potosí,114, 0.00, 0.00,23.86,30.14,23.37
Armería,Poco nuboso,6,Suroeste,211.19,27.95,Lunes,2023-09-11 14:00:00,56.84,6,1,18.9371,-103.9650,Colima,114, 0.27, 0.00,15.05,32.25,13.35
Arriaga,Medio nublado,6,Suroeste,227.52,29.92,Lunes,2023-09-11 14:00:00,67.23,7,9,16.2361,-93.8995,Chiapas,114, 1.90,44.83,11.85,32.99, 7.30
Arroyo Seco,Despejado,6,Noreste,45.32,20.91,Lunes,2023-09-11 14:00:00,24.95,22,3,21.5480,-99.6892,Querétaro de Arteaga,114, 0.00, 0.00,18.21,31.13,16.68
Arteaga,Despejado,6,Este,104.68,15.69,Lunes,2023-09-11 14:00:00,25.79,5,4,25.4506,-100.8496,Coahuila,114, 0.00, 0.00,15.23,25.29,12.42
Ascensión,Cielo nublado,6,Oeste,273.71,20.56,Lunes,2023-09-11 14:00:00,14.42,8,5,31.0922,-107.9959,Chihuahua,114, 0.00, 0.00,30.24,35.01,15.34
Asientos,Despejado,6,Noreste,57.09,16.68,Lunes,2023-09-11 14:00:00,18.38,1,2,22.2383,-102.0893,Aguascalientes,114, 0.00, 0.00,22.30,28.84,21.87
Astacinga,Cielo cubierto,6,Este,82.91,18.66,Lunes,2023-09-11 14:00:00,47.47,30,19,18.5668,-97.1021,Veracruz de Ignacio de la Llave,114, 0.01, 0.00,10.95,23.95, 8.71
Asunción Cacalotepec,Medio nublado,6,Noreste,39.88,23.07,Lunes,2023-09-11 14:00:00,58.55,20,3,17.0353,-95.9566,Oaxaca,114, 0.60, 0.00,10.29,26.98, 8.13
Asunción Cuyotepeji,Cielo cubierto,6,Sur,172.50,16.66,Lunes,2023-09-11 14:00:00,31.05,20,4,17.9309,-97.6744,Oaxaca,114, 0.00, 0.00,11.50,24.92,10.32
Asunción Ixtaltepec,Poco nuboso,6,Sureste,130.57,29.84,Lunes,2023-09-11 14:00:00,46.66,20,5,16.5038,-95.0570,Oaxaca,114, 0.28, 0.00,31.70,35.77,24.97
Asunción Nochixtlán,Cielo cubierto,6,Noreste,47.47,16.62,Lunes,2023-09-11 14:00:00,52.49,20,6,17.4589,-97.2252,Oaxaca,114, 0.26, 0.00,11.27,21.11,10.29
Asunción Ocotlán,Medio nublado,6,Noreste,38.92,25.10,Lunes,2023-09-11 14:00:00,43.82,20,7,16.7592,-96.7213,Oaxaca,114, 0.01, 0.00,12.36,31.27, 9.39
Asunción Tlacolulita,Cielo nublado,6,Sureste,121.45,26.55,Lunes,2023-09-11 14:00:00,46.36,20,8,16.3003,-95.7263,Oaxaca,114, 0.31,39.29,11.66,32.36,10.11
Atarjea,Despejado,6,Noreste,51.10,17.91,Lunes,2023-09-11 14:00:00,25.42,11,6,21.2670,-99.7203,Guanajuato,114, 0.00, 0.00,17.90,27.74,16.48
Atemajac de Brizuela,Despejado,6,Noreste,59.86,18.83,Lunes,2023-09-11 14:00:00,31.70,14,10,20.1394,-103.7244,Jalisco,114, 0.00, 0.00,13.81,27.09, 6.70
Atempan,Cielo cubierto,6,Noreste,38.34,14.86,Lunes,2023-09-11 14:00:00,51.37,21,17,19.8399,-97.4593,Puebla,114, 0.00, 0.00,15.57,19.44,10.86
Atenango del Río,Cielo cubierto,6,Suroeste,205.77,21.75,Lunes,2023-09-11 14:00:00,45.33,12,8,18.1043,-99.1078,Guerrero,114, 0.01, 0.00, 6.50,27.51, 3.09
Atenco,Medio nublado,6,Oeste,290.97,15.30,Lunes,2023-09-11 14:00:00,21.99,15,11,19.5593,-98.9133,Estado de México,114, 0.00, 0.00,13.70,25.99, 8.52
Atengo,Despejado,6,Noreste,64.25,20.88,Lunes,2023-09-11 14:00:00,34.30,14,11,20.2756,-104.2344,Jalisco,114, 0.06, 0.00,13.11,28.68, 6.84
Atenguillo,Despejado,6,Este,102.71,22.56,Lunes,2023-09-11 14:00:00,42.18,14,12,20.4147,-104.4925,Jalisco,114, 0.80, 0.00,13.47,28.99, 7.45
Atexcal,Cielo cubierto,6,Este,102.81,17.87,Lunes,2023-09-11 14:00:00,30.63,21,18,18.3984,-97.7368,Puebla,114, 0.00, 0.00,16.19,26.32,15.05
